rho,v0,seed,N,L,status,final_step,n_samples,mean_A,mean_K,mean_B,mean_f_giant,mean_n_clusters,mean_mean_size,mean_mean_rg,mean_mean_anisotropy,mean_mean_lifetime,mean_mean_com_speed
0.1,0.01,1,180,42.42640687119285,died,3500,34,0.006862745098039214,0.010424381932283818,0.04169000933706816,0.030392156862745094,104.73529411764706,1.7303111755585756,0.24752088729355815,0.9451046436320295,59.843133956258725,0.017770237565037796
0.1,0.01,2,180,42.42640687119285,died,3500,34,0.010317460317460317,0.012313048284418746,0.05485527544351073,0.022875816993464054,109.44117647058823,1.6495568259366156,0.23957853108434582,0.9768292622703538,58.5345411338705,0.01941575294708933
0.1,0.01,6,180,42.42640687119285,died,3500,34,0.010270774976657328,0.010944719332931842,0.049066293183940235,0.024183006535947717,110.05882352941177,1.6403821374765484,0.2321783733400928,0.9609460950834202,59.12325453872193,0.01685747007270167
0.1,0.01,7,180,42.42640687119285,died,3500,34,0.007516339869281045,0.010476142159078211,0.0407563025210084,0.02826797385620915,109.32352941176471,1.652519620424464,0.2148988250549748,0.9458176510745944,59.92605724465598,0.014113059144446063
0.1,0.01,3,180,42.42640687119285,died,3500,34,0.005835667600373482,0.010275323054849008,0.0399626517273576,0.02042483660130719,106.47058823529412,1.698483516613738,0.23385180835360628,0.9829138188975817,59.12144442603101,0.015373923387752498
0.1,0.01,0,180,42.42640687119285,died,4000,39,0.0060236060236060224,0.009836345662577243,0.040089540089540084,0.02834757834757834,102.94871794871794,1.7571890695800356,0.24896337561186344,0.9557919099111987,66.76853932448093,0.01652323986772618
0.1,0.01,5,180,42.42640687119285,died,5000,49,0.009037900874635567,0.008244849004971962,0.04007126660187884,0.032879818594104306,92.89795918367346,1.948226646076509,0.24625553046916027,0.9441826381283952,83.67280842163746,0.011257269469174736
0.1,0.01,4,180,42.42640687119285,died,4500,44,0.012409812409812405,0.013647557904813042,0.06594516594516593,0.03333333333333333,106.88636363636364,1.6902636229175159,0.2439710662126142,0.9468051197364885,72.81294197108978,0.02178989155368744
0.1,0.01,10,180,42.42640687119285,died,3000,29,0.01319102353585112,0.01504269522083848,0.06611932129173508,0.03505747126436781,107.27586206896552,1.6833733905419481,0.24011245704077744,0.9514442564130359,50.56232519021263,0.021881327021197064
0.1,0.01,9,180,42.42640687119285,died,3500,34,0.014332399626517271,0.01589108514598267,0.06970121381886087,0.03725490196078433,106.17647058823529,1.7042616582872956,0.24264891501379965,0.9466833847163221,58.178506095215795,0.022973244866735135
0.1,0.01,8,180,42.42640687119285,died,4000,39,0.009645909645909646,0.012778124462398902,0.0538054538054538,0.02165242165242166,111.43589743589743,1.621313902264137,0.23676912683120002,0.9797616824644316,66.7071030086487,0.02190216965585214
0.1,0.01,13,180,42.42640687119285,died,3500,34,0.00826330532212885,0.009576649980100932,0.041549953314659195,0.023366013071895425,109.23529411764706,1.6555649833274912,0.23820870097253485,0.9156210793445448,59.07058447583248,0.016193721702892214
0.1,0.01,11,180,42.42640687119285,died,4500,44,0.01349206349206349,0.013927756670539948,0.06612554112554112,0.034090909090909095,104.18181818181819,1.7334832136787093,0.2297894782376299,0.9580183084241466,75.5806149382012,0.01706829704548857
0.1,0.01,15,180,42.42640687119285,died,4000,39,0.010744810744810743,0.012091657400317772,0.05417175417175416,0.02293447293447294,108.43589743589743,1.666320745354912,0.23661758726299256,0.9771033857961305,66.57060143128543,0.018301720219931587
0.1,0.01,12,180,42.42640687119285,died,5500,54,0.009964726631393295,0.009823999369943508,0.046208112874779536,0.025411522633744847,107.03703703703704,1.6867668622216727,0.2391386046828183,0.9819805751083237,93.90400446108708,0.012396403255701979
0.1,0.01,16,180,42.42640687119285,died,3500,34,0.011858076563958916,0.009421548501973975,0.0492063492063492,0.03300653594771242,105.94117647058823,1.7060218058497614,0.23636220697881705,0.9290745259763709,59.66398685395884,0.015015967969431568
0.1,0.01,14,180,42.42640687119285,died,5500,54,0.010141093474426805,0.009425969452648255,0.043327454438565546,0.03127572016460906,104.0,1.7388718637753116,0.25354948485682316,0.9450550857406902,93.18452550579612,0.01602849549136668
0.1,0.01,18,180,42.42640687119285,died,4000,39,0.005982905982905982,0.009582090256978263,0.03386243386243386,0.023646723646723655,104.76923076923077,1.726953640510439,0.23893660649162654,0.9693022530660599,67.8876083894723,0.014880934028724396
0.1,0.01,17,180,42.42640687119285,died,4500,44,0.009704184704184703,0.011833795885276282,0.053463203463203456,0.030808080808080816,108.29545454545455,1.6690858787221325,0.23901085159428537,0.955810998593911,74.23065186180294,0.019617867320968388
0.1,0.01,19,180,42.42640687119285,died,4500,44,0.008369408369408367,0.011448265634260274,0.04577922077922078,0.029545454545454552,103.52272727272727,1.7483322370463257,0.2511716188133342,0.9576270137519214,74.54571649499168,0.020225336358458954
0.1,0.05,1,180,42.42640687119285,died,3500,34,0.009103641456582632,0.010869058038788062,0.04794584500466852,0.03153594771241831,99.26470588235294,1.8295223551183977,0.25292117299374195,0.9181761087872611,59.61202811286602,0.01865357033334411
0.1,0.05,2,180,42.42640687119285,died,3500,34,0.009290382819794583,0.011337183714998016,0.044491129785247434,0.02957516339869281,103.58823529411765,1.7482568747241982,0.2556657010867175,0.9733363208474222,58.89574783401734,0.01761453922756874
